Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
2.0,1.0,20.0,44.8541748412,-0.5722029153,300.0,65.51006762442557
4.0,2.0,30.0,44.8338686209,-0.5685911369,3000.0,171.31929675350602
4.0,2.0,50.0,44.8519784016,-0.5799446287,1000.0,127.01281270437357
7.0,5.0,70.0,44.8535489203,-0.6066587817,500.0,196.24468253217947
1.0,1.0,0.0,44.8450317712,-0.5899865196,0.0,44.32113912426394
2.0,1.0,0.0,44.8451954753,-0.5798909461,0.0,51.01029318480323
4.0,1.0,25.0,44.8400235633,-0.5793128021,300.0,82.32785665783285
4.0,1.0,35.0,44.838928984,-0.5796335203,350.0,86.65954142434384
5.0,2.0,55.0,44.8369787523,-0.5760337109,454.0,119.07491827183185
3.0,1.0,0.0,44.8621606846,-0.5619489224,350.0,68.49866999850019
4.0,2.0,50.0,44.8636948292,-0.5603091627,500.0,112.16610551448593
6.0,2.0,0.0,44.8387268857,-0.5727360759,0.0,97.66031914498853
2.0,0.0,0.0,44.8394584663,-0.5567620552,300.0,38.95947907123809
4.0,2.0,0.0,44.8340596212,-0.575598177,200.0,86.63091542697202
4.0,1.0,0.0,44.8345164145,-0.5634805173,200.0,68.84741253726861
1.0,1.0,0.0,44.8392334799,-0.5587188782,0.0,38.98559733150887
4.0,2.0,25.0,44.855874987,-0.5664859951,500.0,104.2719536814293
2.0,0.0,15.0,44.8342043859,-0.5631566289,250.0,42.386500145991704
4.0,2.0,30.0,44.8365042751,-0.5711772966,500.0,103.75466911723106
2.0,1.0,0.0,44.8430223917,-0.5850604198,300.0,59.647948125885705
2.0,1.0,30.0,44.8584251782,-0.5618808457,500.0,73.15639825953804
4.0,2.0,40.0,44.8162273063,-0.5698008276,300.0,98.30481035416506
2.0,1.0,50.0,44.8258501029,-0.5693245544,100.0,64.85524459491808
4.0,3.0,0.0,44.8380973467,-0.5749425815,500.0,111.39990475059767
8.0,3.0,50.0,44.8492197782,-0.545316481,1000.0,170.21650014416173
4.0,1.0,0.0,44.8423742944,-0.581154698,1500.0,108.03053195625125
4.0,2.0,50.0,44.8353354089,-0.5699600937,500.0,109.56098048966305
4.0,2.0,40.0,44.8462984921,-0.5958010399,450.0,110.40111270325087
2.0,1.0,0.0,44.8376031894,-0.5676157076,0.0,48.165917063513916
7.0,4.0,0.0,44.8139421815,-0.5631408951,400.0,144.0270018277397
6.0,3.0,50.0,44.8361104262,-0.5692964672,800.0,150.1181778178625
4.0,1.0,0.0,44.8426289717,-0.5833257105,0.0,67.39413070679893
